source,img,eps_chk,lgc_emp,dot12,sq_a,sq_b,mu_sq,sig2
ARES_ConvNeXt_B,15,0.0019607843137254,0.999911904335022,0.4548119008541107,0.4548306465148926,0.4549534022808075,0.4548121690750122,2.134055820945946e-09
ARES_ConvNeXt_B,15,0.0039215686274509,0.9996485710144044,0.4557006955146789,0.4555492997169494,0.4564933478832245,0.4548121690750122,2.134055820945946e-09
ARES_ConvNeXt_B,15,0.0078431372549019,0.9985817074775696,0.4543181955814361,0.4559681117534637,0.4552541375160217,0.4548121690750122,2.134055820945946e-09
ARES_ConvNeXt_B,15,0.0156862745098039,0.994344174861908,0.4562375545501709,0.4612122476100921,0.4614463448524475,0.4548121690750122,2.134055820945946e-09
ARES_ConvNeXt_B,15,0.0313725490196078,0.9771184921264648,0.456304132938385,0.4759969711303711,0.476562887430191,0.4548121690750122,2.134055820945946e-09
ARES_ConvNeXt_B,16,0.0019607843137254,0.9999160766601562,0.000551291683223,0.0005516550154425,0.0005511064082384,0.0005516222445294,2.375347314675924e-12
ARES_ConvNeXt_B,16,0.0039215686274509,0.999673306941986,0.0005512644420377,0.0005517299287021,0.0005515604279935,0.0005516222445294,2.375347314675924e-12
ARES_ConvNeXt_B,16,0.0078431372549019,0.9986510276794434,0.0005507871974259,0.000552813638933,0.0005516913952305,0.0005516222445294,2.375347314675924e-12
ARES_ConvNeXt_B,16,0.0156862745098039,0.9949607253074646,0.0005485339206643,0.0005519199767149,0.0005564673920162,0.0005516222445294,2.375347314675924e-12
ARES_ConvNeXt_B,16,0.0313725490196078,0.9799689650535583,0.0005482135456986,0.0005683975177817,0.0005704015493392,0.0005516222445294,2.375347314675924e-12
ARES_ConvNeXt_B,17,0.0019607843137254,0.9997928738594056,1.6801769733428955,1.6807793378829956,1.6810038089752195,1.6718608140945437,1.8112311650497762e-08
ARES_ConvNeXt_B,17,0.0039215686274509,0.9991530776023864,1.6716371774673462,1.6733070611953735,1.6756483316421509,1.6718608140945437,1.8112311650497762e-08
ARES_ConvNeXt_B,17,0.0078431372549019,0.9966323971748352,1.643018364906311,1.6601555347442627,1.6479536294937134,1.6718608140945437,1.8112311650497762e-08
ARES_ConvNeXt_B,17,0.0156862745098039,0.9867349863052368,1.5283654928207395,1.575493097305298,1.5604466199874878,1.6718608140945437,1.8112311650497762e-08
ARES_ConvNeXt_B,17,0.0313725490196078,0.950420379638672,1.160991668701172,1.2731163501739502,1.266456961631775,1.6718608140945437,1.8112311650497762e-08
ARES_ConvNeXt_B,18,0.0019607843137254,0.999858021736145,0.0002548474294599,0.0002548933262005,0.0002549449854996,0.0002550683566369,1.9142602000060682e-12
ARES_ConvNeXt_B,18,0.0039215686274509,0.9994293451309204,0.0002551142824813,0.0002553441154304,0.0002554623351898,0.0002550683566369,1.9142602000060682e-12
ARES_ConvNeXt_B,18,0.0078431372549019,0.9977431297302246,0.0002552197547629,0.0002565484901424,0.0002561953151598,0.0002550683566369,1.9142602000060682e-12
ARES_ConvNeXt_B,18,0.0156862745098039,0.9907152056694032,0.0002572007651906,0.0002613958786241,0.0002626119239721,0.0002550683566369,1.9142602000060682e-12
ARES_ConvNeXt_B,18,0.0313725490196078,0.9585184454917908,0.0002669458335731,0.0002888248709496,0.0002862617839127,0.0002550683566369,1.9142602000060682e-12
ARES_ConvNeXt_B,21,0.0019607843137254,0.9998784065246582,0.0010180436074733,0.0010183214908465,0.001018256181851,0.0010171551257371,6.5988755258705725e-12
ARES_ConvNeXt_B,21,0.0039215686274509,0.999515950679779,0.0010163256665691,0.0010171539615839,0.00101750344038,0.0010171551257371,6.5988755258705725e-12
ARES_ConvNeXt_B,21,0.0078431372549019,0.9981018304824828,0.0010161738609895,0.0010190410539507,0.0010211479384452,0.0010171551257371,6.5988755258705725e-12
ARES_ConvNeXt_B,21,0.0156862745098039,0.9924461245536804,0.0010126846609637,0.0010292747756466,0.001025742618367,0.0010171551257371,6.5988755258705725e-12
ARES_ConvNeXt_B,21,0.0313725490196078,0.9681099057197572,0.0009891967056319,0.0010534155881032,0.0010421369224786,0.0010171551257371,6.5988755258705725e-12
ARES_ConvNeXt_B,22,0.0019607843137254,0.9998947978019714,0.0003179355990141,0.0003178592596668,0.0003181439824402,0.0003183070803061,1.704457430230788e-12
ARES_ConvNeXt_B,22,0.0039215686274509,0.9995908737182616,0.0003177903126925,0.0003181939828209,0.0003179015184286,0.0003183070803061,1.704457430230788e-12
ARES_ConvNeXt_B,22,0.0078431372549019,0.9983256459236144,0.0003175254969391,0.0003186616231687,0.0003184682282153,0.0003183070803061,1.704457430230788e-12
ARES_ConvNeXt_B,22,0.0156862745098039,0.9932668805122375,0.0003166547685395,0.0003194522578269,0.0003221606020815,0.0003183070803061,1.704457430230788e-12
ARES_ConvNeXt_B,22,0.0313725490196078,0.971932590007782,0.0003167084942106,0.0003357192908879,0.0003319722018204,0.0003183070803061,1.704457430230788e-12
ARES_ConvNeXt_B,23,0.0019607843137254,0.9999161958694458,0.0002436112845316,0.0002436357171973,0.000243668720941,0.0002437276561977,1.0857071535211316e-12
ARES_ConvNeXt_B,23,0.0039215686274509,0.9996566772460938,0.0002437683288007,0.0002438026567688,0.0002440553653286,0.0002437276561977,1.0857071535211316e-12
ARES_ConvNeXt_B,23,0.0078431372549019,0.9986475110054016,0.0002435474452795,0.0002442172262817,0.0002441667893435,0.0002437276561977,1.0857071535211316e-12
ARES_ConvNeXt_B,23,0.0156862745098039,0.99454003572464,0.0002434071648167,0.0002460645046085,0.0002461153781041,0.0002437276561977,1.0857071535211316e-12
ARES_ConvNeXt_B,23,0.0313725490196078,0.9778856635093688,0.0002436773938825,0.0002544032759033,0.0002533413644414,0.0002437276561977,1.0857071535211316e-12
ARES_ConvNeXt_B,24,0.0019607843137254,0.9997919201850892,0.0055312649346888,0.0055291149765253,0.0055383457802236,0.0055387220345437,6.427038762302216e-11
ARES_ConvNeXt_B,24,0.0039215686274509,0.9991491436958312,0.0055319494567811,0.0055443211458623,0.0055384086444973,0.0055387220345437,6.427038762302216e-11
ARES_ConvNeXt_B,24,0.0078431372549019,0.996681034564972,0.0055776410736143,0.0056136227212846,0.0056144436821341,0.0055387220345437,6.427038762302216e-11
ARES_ConvNeXt_B,24,0.0156862745098039,0.9864168167114258,0.0056766825728118,0.0058406498283147,0.0058078565634787,0.0055387220345437,6.427038762302216e-11
