source,mode,n_img,c,c_raw,cos_lin,g_r,kappa_eff,a,b,rho,gcr,crossover,tau_star,V_over_m,norm_ratio,bias_disp,res_draw,res_mean
Salman_eps1.0,resize,365,0.7483102900524662,0.744639308403616,0.8234220367588408,0.7360089826236514,0.41194284498268047,1.0084095456130377,0.033399900696224706,62.5834313793749,0.9842726323775539,yes,0.5400648006380571,0.0032556428202556555,0.8467446617697719,0.6902367184034588,0.631509185074951,0.6855522287244936
Salman_eps1.0,translation,365,0.5762776768626008,0.5733345792820193,0.06718469860816804,0.6480004132898882,2.720156809289101,1.0652902837813714,0.11168018176124121,62.5834313793749,0.9842726323775539,yes,0.2311382593598637,0.021497785661270374,0.7945085065543768,0.8578936733261,1.2784991273857684,3.4255794152573764
Salman_eps2.0,di09,353,0.48505363548992375,0.48247866597417055,0.45037741469161285,0.5868087037853489,1.7877122707658293,1.0576186880169127,0.07079719348178866,51.64473801914265,0.9810047492374949,yes,0.1666763814236606,0.015383460560374086,0.7615889006436324,0.9620132884330856,1.0912491279275387,2.719807401123607
Salman_eps2.0,full_di,353,0.4161554049257263,0.4135180076283453,0.4415998566003975,0.6541764063154432,1.1795010404893973,1.0341835142021252,0.03763343516888507,51.64473801914265,0.9810047492374949,yes,0.1360211480907311,0.010149736081140101,0.804117976214828,1.0411455801633849,1.0654815831079611,2.904893949742604
Salman_eps2.0,resize,353,0.7261459820669028,0.7230606695410212,0.839993834157841,0.5638814654804831,0.32304604236159085,1.0104587689885058,0.032756690836124626,51.64473801914265,0.9810047492374949,yes,0.505809803913198,0.0027798466974361486,0.7465626221632566,0.7220875505210134,0.6394015425522865,0.7181092463701165
Salman_eps2.0,translation,353,0.4794945350871883,0.47761152285776465,0.059423985641724034,0.5502916818585326,3.097959717120277,1.1060135129912305,0.15462834047020274,51.64473801914265,0.9810047492374949,yes,0.07913374191945598,0.02665828383307552,0.7375115170233315,0.9303034838243762,1.2409847721377165,3.266475069432061
Salman_eps4.0,di09,334,0.411648822758726,0.4091050664331028,0.4404821977811213,0.3757676194265129,1.4333779626461043,1.0942047189845288,0.08038955086461698,39.63860230010731,0.9753928544929962,yes,0.08785151891068728,0.01648843095458462,0.6030706694003998,0.9619960606000456,1.103466939849396,2.5081847456963673
Salman_eps4.0,full_di,334,0.34937918437421767,0.34666498556933895,0.44480602907206485,0.417398277941027,0.8785514162981842,1.052133707773229,0.03832029281309932,39.63860230010731,0.9753928544929962,yes,0.08260447181416289,0.010106151165421302,0.6355999533360577,1.0187485660949664,1.0868175707050427,2.8726313587156547
Salman_eps4.0,resize,334,0.7572591138814024,0.753923254991006,0.86297090985104,0.4918974238549571,0.258080511116253,1.0125419364114796,0.027518440942981295,39.63860230010731,0.9753928544929962,yes,0.554223251653315,0.002968751298791158,0.6899947784481764,0.6853832932496678,0.603606680503069,0.6783131594455416
Salman_eps4.0,translation,334,0.3733978236685256,0.37239843658255245,0.0585064877092651,0.3657133656511744,2.396577562920189,1.1602149830537805,0.20246026424227942,39.63860230010731,0.9753928544929962,no,,0.027568306966689788,0.5949479145110801,0.9431482012462261,1.2684252199292352,2.7649690779581113
Salman_eps8.0,di09,290,0.43981304152001593,0.4291386958725494,0.4108065850968505,0.4114887333616218,0.027207517915214578,1.018250934541351,0.05902570085800028,0.38869321816169644,0.2798985500024512,yes,0.14012330567760786,0.04131839208909487,0.38060197482559927,0.9522562414307194,1.2014244964109257,2.049846538566582
Salman_eps8.0,full_di,290,0.36561345883869917,0.3429721735931676,0.41728838355890635,0.39458854030019197,0.015371055531539318,1.037504700563272,0.02437681976606964,0.38869321816169644,0.2798985500024512,yes,0.1078801438490916,0.023343081175377523,0.372704208871707,0.9916744699649714,1.1995076915939666,2.2564930356714386
Salman_eps8.0,resize,290,0.6979725092135627,0.7063394172952093,0.7983746915028013,0.8292666896354961,0.0089726772792867,1.0,0.018612080612779726,0.38869321816169644,0.2798985500024512,yes,0.47743968898421174,0.013626255767607643,0.5403052325420467,0.7874317013526806,0.8134644232903,0.7833862017718363
Salman_eps8.0,translation,290,0.421961108582287,0.41041723767231253,0.055490195474402676,0.6153940418714745,0.059241401192372374,1.047077809422086,0.07796697708581034,0.38869321816169644,0.2798985500024512,yes,0.10327425587525954,0.08996628983215757,0.46544536154036165,0.9781977727216512,1.2829923156852274,2.4072569133980894
