source,eps_chk,lgc_emp,lgc2,gcr,consistency_check,gap_eq1_vs_lgc2,lgc_emp_sq,rho
Engstrom2019Robustness_ImageNet,0.0039215686274509,0.9815115928649902,0.9746060904664312,0.9738924835352143,0.0007136069312169147,0.006905502398559027,0.9633650069283703,37.30314543127135
Engstrom2019Robustness_ImageNet,0.0078431372549019,0.9626685747733483,0.9456199732090066,0.9738924835352143,-0.0282725103262077,0.017048601564341737,0.9267307848561498,37.30314543127135
Engstrom2019Robustness_ImageNet,0.0156862745098039,0.9234965720543494,0.8858383546678743,0.9738924835352143,-0.08805412886733999,0.037658217386475124,0.8528459185961342,37.30314543127135
Engstrom2019Robustness_ImageNet,0.0313725490196078,0.8437442564964295,0.7705756876502463,0.9738924835352143,-0.20331679588496798,0.07316856884618317,0.7119043703707125,37.30314543127135
InceptionV3,0.0019607843137254,0.9010108983830402,0.8674330581341594,0.7542989376277451,0.11313412050641425,0.033577840248880775,0.8118206390050131,3.069986471954802
InceptionV3,0.0039215686274509,0.8129179058890593,0.7491467046439908,0.7542989376277451,-0.005152232983754335,0.06377120124506852,0.6608355217150536,3.069986471954802
InceptionV3,0.0078431372549019,0.665471412319886,0.5750734803500688,0.7542989376277451,-0.17922545727767636,0.09039793196981727,0.4428522006150238,3.069986471954802
InceptionV3,0.0156862745098039,0.46511820605710935,0.34891323696112136,0.7542989376277451,-0.40538570066662377,0.11620496909598799,0.21633494560578365,3.069986471954802
InceptionV3,0.0313725490196078,0.26022960779894333,0.19743794308634954,0.7542989376277451,-0.5568609945413956,0.06279166471259379,0.06771944877519187,3.069986471954802
Mo2022When_ViT-B,0.0019607843137254,0.9999819925853184,0.9999616216016043,0.9998462229028053,0.00011539869879895193,2.0370983714101953e-05,0.9999639854949037,6501.918953749481
Mo2022When_ViT-B,0.0039215686274509,0.9999279636996133,0.9998459749166511,0.9998462229028053,-2.4798615427812365e-07,8.19887829622834e-05,0.9998559325884553,6501.918953749481
Mo2022When_ViT-B,0.0078431372549019,0.9997116998263768,0.9993852979318361,0.9998462229028053,-0.00046092497096927865,0.00032640189454069546,0.9994234827697436,6501.918953749481
Mo2022When_ViT-B,0.0156862745098039,0.9988456864016396,0.9975686482835894,0.9998462229028053,-0.0022775746192159607,0.0012770381180502444,0.9976927052431626,6501.918953749481
Mo2022When_ViT-B,0.0313725490196078,0.9952885808263506,0.9903153310113091,0.9998462229028053,-0.009530891891496251,0.004973249815041547,0.9905993591233311,6501.918953749481
ResNet50,0.0019607843137254,0.7901325897120013,0.6724794789777131,0.4979617883114789,0.17451769066623418,0.11765311073428819,0.6243095093249937,0.9918802527733261
ResNet50,0.0039215686274509,0.6495274126824766,0.49781734363337876,0.4979617883114789,-0.00014444467810015293,0.15171006904909784,0.42188585982599225,0.9918802527733261
ResNet50,0.0078431372549019,0.4659394754262844,0.3314000386477216,0.4979617883114789,-0.1665617496637573,0.13453943677856278,0.21709959476052107,0.9918802527733261
ResNet50,0.0156862745098039,0.2804969742174933,0.21691637682627443,0.4979617883114789,-0.28104541148520445,0.06358059739121888,0.0786785525451691,0.9918802527733261
ResNet50,0.0313725490196078,0.13716849206605608,0.13481850474322207,0.4979617883114789,-0.36314328356825687,0.0023499873228340074,0.01881519521567569,0.9918802527733261
Salman_eps0.5,0.0019607843137254,0.9951332042587551,0.9932703942270135,0.985632691763171,0.007637702463842433,0.0018628100317416019,0.9902900942182972,68.60246021844326
Salman_eps0.5,0.0039215686274509,0.9902816504158831,0.9853875199840908,0.985632691763171,-0.00024517177908023324,0.004894130431792321,0.9806577471504053,68.60246021844326
Salman_eps0.5,0.0078431372549019,0.9799188981264099,0.9703467966687807,0.985632691763171,-0.015285895094390378,0.009572101457629212,0.9602410469052772,68.60246021844326
Salman_eps0.5,0.0156862745098039,0.9561540567257749,0.937525362453748,0.985632691763171,-0.048107329309423075,0.018628694272026958,0.9142305801931564,68.60246021844326
Salman_eps0.5,0.0313725490196078,0.890927023231496,0.8542167951787101,0.985632691763171,-0.13141589658446096,0.0367102280527859,0.7937509607241345,68.60246021844326
Salman_eps1.0,0.0019607843137254,0.9944911929026042,0.9924373133246167,0.9842726323775539,0.008164680947062797,0.0020538795779875274,0.9890127327608448,62.58343137937489
Salman_eps1.0,0.0039215686274509,0.9891915523842589,0.9844188492726732,0.9842726323775539,0.00014621689511928881,0.00477270311158573,0.9784999273083801,62.58343137937489
Salman_eps1.0,0.0078431372549019,0.9776167956117081,0.9663509597968676,0.9842726323775539,-0.017921672580686332,0.01126583581484053,0.9557345990621042,62.58343137937489
Salman_eps1.0,0.0156862745098039,0.9524143962010946,0.9107395627465443,0.9842726323775539,-0.07353306963100958,0.04167483345455025,0.9070931820910956,62.58343137937489
Salman_eps1.0,0.0313725490196078,0.890044823901294,0.8415361726787977,0.9842726323775539,-0.14273645969875626,0.04850865122249637,0.7921797885534855,62.58343137937489
Salman_eps2.0,0.0019607843137254,0.9921842577099462,0.99096037266934,0.9810047492374949,0.009955623431845084,0.0012238850406062207,0.984429601247437,51.64473801914265
Salman_eps2.0,0.0039215686274509,0.9860017294586549,0.9811695035649914,0.9810047492374949,0.00016475432749651908,0.0048322258936635,0.9721994104954585,51.64473801914265
Salman_eps2.0,0.0078431372549019,0.9721726836800237,0.9587004934246418,0.9810047492374949,-0.022304255812853113,0.013472190255381933,0.9451197268936194,51.64473801914265
Salman_eps2.0,0.0156862745098039,0.941749300142861,0.9108616662721475,0.9810047492374949,-0.07014308296534744,0.03088763387071347,0.8868917443195684,51.64473801914265
Salman_eps2.0,0.0313725490196078,0.8742906410700877,0.8145793920246379,0.9810047492374949,-0.166425357212857,0.05971124904544978,0.7643841250627449,51.64473801914265
Salman_eps4.0,0.0019607843137254,0.9917053019929075,0.9881568913107885,0.9753928544929962,0.012764036817792368,0.0035484106821189743,0.9834794060008439,39.63860230010731
Salman_eps4.0,0.0039215686274509,0.9843771500501804,0.9742783716490121,0.9753928544929962,-0.001114482843984077,0.010098778401168351,0.9689983735409154,39.63860230010731
Salman_eps4.0,0.0078431372549019,0.9685417897330073,0.9523955897358182,0.9753928544929962,-0.022997264757178004,0.016146199997189137,0.938073198459217,39.63860230010731
Salman_eps4.0,0.0156862745098039,0.9351041274156399,0.9004757000339297,0.9753928544929962,-0.07491715445906644,0.034628427381710125,0.8744197291097653,39.63860230010731
Salman_eps4.0,0.0313725490196078,0.8669016018599093,0.8027326504145724,0.9753928544929962,-0.17266020407842375,0.06416895144533685,0.7515183873072767,39.63860230010731
Salman_eps8.0,0.0019607843137254,0.8461280272053233,0.4122905502999642,0.2798985500024512,0.13239200029751302,0.4338374769053591,0.7159326384223723,0.38869321816169633
Salman_eps8.0,0.0039215686274509,0.802075241557483,0.27013190384220326,0.2798985500024512,-0.009766646160247916,0.5319433377152798,0.6433246931194947,0.38869321816169633
Salman_eps8.0,0.0078431372549019,0.7477289221827583,0.2057649368424568,0.2798985500024512,-0.07413361315999437,0.5419639853403015,0.5590985410685895,0.38869321816169633
Salman_eps8.0,0.0156862745098039,0.6816886679506219,0.16535193374529583,0.2798985500024512,-0.11454661625715534,0.516336734205326,0.46469944001229324,0.38869321816169633
Salman_eps8.0,0.0313725490196078,0.5959529769297284,0.13461009105447513,0.2798985500024512,-0.14528845894797604,0.46134288587525324,0.3551599507114054,0.38869321816169633
Singh2023Revisiting_ViT-B-ConvStem,0.0019607843137254,0.9999241394431968,0.9998334975835457,0.9993414114226564,0.0004920861608892491,9.064185965113047e-05,0.9998482846412177,1517.3986397601327
Singh2023Revisiting_ViT-B-ConvStem,0.0039215686274509,0.9996887868956515,0.9993555424199477,0.9993414114226564,1.413099729130618e-05,0.00033324447570382,0.9993776706448995,1517.3986397601327
Singh2023Revisiting_ViT-B-ConvStem,0.0078431372549019,0.9987677456516969,0.9973812200531831,0.9993414114226564,-0.001960191369473341,0.0013865255985138214,0.9975370097541727,1517.3986397601327
Singh2023Revisiting_ViT-B-ConvStem,0.0156862745098039,0.9950006688895978,0.9889903436888794,0.9993414114226564,-0.01035106773377703,0.006010325200718425,0.9900263310907471,1517.3986397601327
Singh2023Revisiting_ViT-B-ConvStem,0.0313725490196078,0.9781333995492835,0.9612643078440412,0.9993414114226564,-0.03807710357861527,0.01686909170524231,0.9567449473138382,1517.3986397601327
Swin_B_ImageNet,0.0019607843137254,0.4996062309462987,0.26931525834037134,0.16528520316808018,0.10403005517229116,0.23029097260592735,0.24960638600036633,0.1980139848908925
Swin_B_ImageNet,0.0039215686274509,0.34902397981812966,0.12924363905135844,0.16528520316808018,-0.03604156411672174,0.21978034076677122,0.12181773848808618,0.1980139848908925
Swin_B_ImageNet,0.0078431372549019,0.22886160290333232,0.19285823536822722,0.16528520316808018,0.027573032200147035,0.03600336753510511,0.05237763328348257,0.1980139848908925
Swin_B_ImageNet,0.0156862745098039,0.13711176406003237,0.09489981524463557,0.16528520316808018,-0.0703853879234446,0.04221194881539679,0.018799635843653982,0.1980139848908925
Swin_B_ImageNet,0.0313725490196078,0.07129191549257015,0.10495871701969765,0.16528520316808018,-0.06032648614838253,-0.033666801527127505,0.005082537214599764,0.1980139848908925
ViT_B_16_ImageNet,0.0019607843137254,0.9578706471636744,0.9648594818097819,0.9097606776907763,0.055098804119005584,-0.006988834646107445,0.9175161766977564,10.081643505403258
ViT_B_16_ImageNet,0.0039215686274509,0.8907373538701842,0.9065157867887732,0.9097606776907763,-0.0032448909020030836,-0.015778432918589047,0.7934130335796576,10.081643505403258
ViT_B_16_ImageNet,0.0078431372549019,0.750603763902984,0.7776648464092666,0.9097606776907763,-0.1320958312815097,-0.027061082506282585,0.5634060103853266,10.081643505403258
ViT_B_16_ImageNet,0.0156862745098039,0.5455552726467647,0.5586930905828786,0.9097606776907763,-0.35106758710789765,-0.013137817936113905,0.2976305555126858,10.081643505403258
ViT_B_16_ImageNet,0.0313725490196078,0.3418574559912639,0.37566517679014894,0.9097606776907763,-0.5340955009006274,-0.033807720798885055,0.11686652021681893,10.081643505403258
